county,date,deviation,label
Tulare,2018-08-01,-0.02003878638032954,Green
Tuolumne,2018-08-01,0.17043707753142204,Red
Ventura,2018-08-01,0.1887098056813291,Red
Yolo,2018-08-01,0.35345321152235165,Red
Yuba,2018-08-01,0.15771192171394174,Red
Alameda,2018-09-01,0.1939175575639811,Yellow
Alpine,2018-09-01,0.11797765575837262,Green
Amador,2018-09-01,-0.17674750468327585,Green
Butte,2018-09-01,0.24511088456446087,Red
Calaveras,2018-09-01,-0.1251435648946802,Green
Colusa,2018-09-01,-0.12493191823391152,Green
Contra Costa,2018-09-01,-0.19064744495124197,Green
Del Norte,2018-09-01,0.04829288974479709,Green
El Dorado,2018-09-01,-0.09299116458599459,Green
Fresno,2018-09-01,-0.11856885638779452,Green
Glenn,2018-09-01,-0.08277799535655055,Green
Humboldt,2018-09-01,0.12232778974145056,Green
Imperial,2018-09-01,-0.060725165935651304,Green
Inyo,2018-09-01,-0.21733898656543008,Green
Kern,2018-09-01,-0.1248739258755239,Green
Kings,2018-09-01,-0.20260636605671759,Green
Lake,2018-09-01,0.044723049684217045,Green
Lassen,2018-09-01,-0.1630777643463951,Green
Los Angeles,2018-09-01,-0.16782176252895376,Green
Madera,2018-09-01,-0.20863958258820098,Green
Marin,2018-09-01,-0.18194271839120618,Green
Mariposa,2018-09-01,-0.19683877396957639,Green
Mendocino,2018-09-01,-0.13683941804920574,Green
Merced,2018-09-01,-0.08525230907424633,Green
Modoc,2018-09-01,0.035172163941433715,Green
Mono,2018-09-01,-0.13128408050899507,Green
Monterey,2018-09-01,-0.04089868714443751,Green
Napa,2018-09-01,-0.28154104706397665,Green
Nevada,2018-09-01,-0.10744605880480473,Green
Orange,2018-09-01,-0.024672295198327348,Green
Placer,2018-09-01,-0.34129998799400935,Green
Plumas,2018-09-01,0.09712098345654888,Green
Riverside,2018-09-01,-0.11858706585638752,Green
Sacramento,2018-09-01,0.027258043625912963,Green
San Benito,2018-09-01,-0.29817156300569064,Green
San Bernardino,2018-09-01,-0.07358984515339993,Green
San Diego,2018-09-01,-0.03026869869758258,Green
San Francisco,2018-09-01,0.2203975895827882,Red
San Joaquin,2018-09-01,-0.23164959278613909,Green
San Luis Obispo,2018-09-01,-0.23949636560756196,Green
San Mateo,2018-09-01,-0.29044882563218777,Green
Santa Barbara,2018-09-01,0.3901462441803401,Red
Santa Clara,2018-09-01,-0.3371073479568154,Green
Santa Cruz,2018-09-01,0.30277451309456854,Red
Shasta,2018-09-01,-0.09122973560903266,Green
Sierra,2018-09-01,0.07175343971254944,Green
Siskiyou,2018-09-01,-0.1095250783425848,Green
Solano,2018-09-01,-0.04518830351851069,Green
Sonoma,2018-09-01,-0.2335390683857433,Green
Stanislaus,2018-09-01,-0.030618256989349266,Green
Sutter,2018-09-01,-0.10766415580899667,Green
Tehama,2018-09-01,-0.16833612249483149,Green
Trinity,2018-09-01,-0.3065908459216661,Green
Tulare,2018-09-01,-0.03268857655494786,Green
Tuolumne,2018-09-01,-0.24800783996332568,Green
Ventura,2018-09-01,-0.042423453625943706,Green
Yolo,2018-09-01,0.5205905925931648,Red
Yuba,2018-09-01,-0.007595946326125056,Green
Alameda,2018-10-01,0.2514819367400681,Red
Alpine,2018-10-01,0.09440715228672043,Green
Amador,2018-10-01,-0.07208421131604881,Green
Butte,2018-10-01,0.24319454608969313,Yellow
Calaveras,2018-10-01,-0.18011767493630296,Green
Colusa,2018-10-01,-0.052788033845957656,Green
Contra Costa,2018-10-01,-0.11984479036206619,Green
Del Norte,2018-10-01,0.2802140689589439,Red
El Dorado,2018-10-01,0.29535647871324844,Red
Fresno,2018-10-01,-0.0344019526571722,Green
Glenn,2018-10-01,0.08022156939314636,Green
Humboldt,2018-10-01,0.24740963509651243,Red
Imperial,2018-10-01,-0.06136513667903828,Green
Inyo,2018-10-01,0.16735398566182697,Red
Kern,2018-10-01,-0.06101881184391089,Green
Kings,2018-10-01,0.006619284507875958,Green
Lake,2018-10-01,0.0005483200136515494,Green
Lassen,2018-10-01,-0.07253864682802331,Green
Los Angeles,2018-10-01,-0.06133703132004965,Green
Madera,2018-10-01,-0.0731690613690128,Green
Marin,2018-10-01,-0.06272059871311217,Green
Mariposa,2018-10-01,0.10187435199810418,Green
Mendocino,2018-10-01,0.015359067607077984,Green
Merced,2018-10-01,0.04672529731693754,Green
Modoc,2018-10-01,0.20037146369475184,Yellow
Mono,2018-10-01,0.1585908935192116,Yellow
Monterey,2018-10-01,0.09885877730018534,Green
Napa,2018-10-01,-0.21447497430501966,Green
Nevada,2018-10-01,0.08229513830495021,Green
Orange,2018-10-01,0.08103377696395042,Green
Placer,2018-10-01,-0.2536944727145214,Green
Plumas,2018-10-01,0.31683927495758096,Red
Riverside,2018-10-01,-0.039284921045088676,Green
Sacramento,2018-10-01,0.1929615619297689,Red
San Benito,2018-10-01,-0.12998812174035915,Green
San Bernardino,2018-10-01,0.04885021215777566,Green
San Diego,2018-10-01,0.08097920466900878,Green
San Francisco,2018-10-01,0.2833444132024415,Red
San Joaquin,2018-10-01,-0.16386894893079848,Green
San Luis Obispo,2018-10-01,-0.14258161561905072,Green
San Mateo,2018-10-01,-0.22019015119190355,Green
Santa Barbara,2018-10-01,0.8543413702761292,Red
Santa Clara,2018-10-01,-0.22424508573890722,Green
Santa Cruz,2018-10-01,0.5758138341431351,Red
Shasta,2018-10-01,0.06601552055048764,Green
Sierra,2018-10-01,-0.3040412096423138,Green
Siskiyou,2018-10-01,0.10440776576731083,Green
Solano,2018-10-01,0.20591017828895683,Red
Sonoma,2018-10-01,-0.1250147777896678,Green
Stanislaus,2018-10-01,0.07648119887072993,Green
Sutter,2018-10-01,-0.08266384986293131,Green
Tehama,2018-10-01,-0.05353957981135537,Green
Trinity,2018-10-01,-0.06899433894479957,Green
Tulare,2018-10-01,0.021662188076200403,Green
Tuolumne,2018-10-01,0.05238988932665233,Green
Ventura,2018-10-01,0.08788866579303234,Green
Yolo,2018-10-01,0.5940859518996915,Red
Yuba,2018-10-01,-0.017811058884708297,Green
Alameda,2018-11-01,0.09353112678823186,Green
Alpine,2018-11-01,0.10493164924434872,Green
Amador,2018-11-01,-0.2246611734287765,Green
Butte,2018-11-01,0.16234317557635766,Green
Calaveras,2018-11-01,-0.06457239609915374,Green
Colusa,2018-11-01,-0.06352750861786492,Green
Contra Costa,2018-11-01,-0.2433461968930439,Green
Del Norte,2018-11-01,0.09319327125849905,Green
El Dorado,2018-11-01,0.10251855669808281,Green
Fresno,2018-11-01,-0.09845202900122198,Green
Glenn,2018-11-01,0.00306316042824941,Green
Humboldt,2018-11-01,0.044575923775132094,Green
Imperial,2018-11-01,-0.23784987384555767,Green
Inyo,2018-11-01,0.2116195956869279,Red
Kern,2018-11-01,-0.05172879009302772,Green
Kings,2018-11-01,-0.07361723482387131,Green
Lake,2018-11-01,0.10310962578094286,Green
Lassen,2018-11-01,-0.10515371310017212,Green
Los Angeles,2018-11-01,-0.08465575541432944,Green
Madera,2018-11-01,-0.025645931714553833,Green
Marin,2018-11-01,-0.13733487961167493,Green
Mariposa,2018-11-01,-0.1444976565179973,Green
Mendocino,2018-11-01,-0.16276539155458855,Green
Merced,2018-11-01,-0.1052760069734471,Green
Modoc,2018-11-01,0.16429483681993673,Yellow
Mono,2018-11-01,0.32537963211170834,Red
Monterey,2018-11-01,0.474444529934858,Red
Napa,2018-11-01,-0.21422468110259468,Green
Nevada,2018-11-01,-0.09519180514636623,Green
Orange,2018-11-01,-0.023625979996460655,Green
Placer,2018-11-01,-0.38697328538647624,Green
Plumas,2018-11-01,0.04237725399115479,Green
Riverside,2018-11-01,-0.18036477294016157,Green
Sacramento,2018-11-01,0.03432448287608423,Green
San Benito,2018-11-01,-0.17875490373840466,Green
San Bernardino,2018-11-01,-0.08439357100735437,Green
San Diego,2018-11-01,-0.07367917926686308,Green
San Francisco,2018-11-01,0.07770657817234211,Green
